Value,Synonyms
Toma,"toma, tomas"
TommeDAbondance,"tomme d'abondance, tomme d'abondances"
TommeDeChevre,"tomme de chevre, tomme de chevres"
TommeDeRomans,tomme de romans
TommeDeSavoie,"tomme de savoie, tomme de savoies"
TommeDesChouans,tomme des chouans
Tommes,tommes
TortaDelCasar,"torta del casar, torta del casars"
Toscanello,"toscanello, toscanellos"
ToureeDeLAubier,"touree de l'aubier, touree de l'aubiers"
Tourmalet,"tourmalet, tourmalets"
TrappeCheese,"trappe cheese, trappe cheeses"
TroisCornesDeVendee,"trois cornes de vendee, trois cornes de vendees"
Tronchon,"tronchon, tronchons"
TruffeCheese,"truffe cheese, truffe cheeses"
Tupi,"tupi, tupis"
Turunmaa,"turunmaa, turunmaas"
Tymsboro,"tymsboro, tymsboros"
TynGrug,"tyn grug, tyn grugs"
Tyning,"tyning, tynings"
Ubriaco,"ubriaco, ubriacos"
Ulloa,"ulloa, ulloas"
VacherinFribourgeois,vacherin-fribourgeois
Valencay,"valencay, valencays"
Vasterbottenost,"vasterbottenost, vasterbottenosts"
Venaco,"venaco, venacos"
Vendomois,vendomois
VieuxCorse,"vieux corse, vieux corses"
Vignotte,"vignotte, vignottes"
Vulscombe,"vulscombe, vulscombes"
WaimataFarmhouseBlue,"waimata farmhouse blue, waimata farmhouse blues"
WashedRindCheese,"washed rind cheese, washed rind cheeses"
WaterlooCheese,"waterloo cheese, waterloo cheeses"
Weichkaese,"weichkaese, weichkaeses"
WellingtonCheese,"wellington cheese, wellington cheeses"
Wensleydale,"wensleydale, wensleydales"
WhiteStilton,"white stilton, white stiltons"
WhitestoneFarmhouse,"whitestone farmhouse, whitestone farmhouses"
Wigmore,"wigmore, wigmores"
WoodsideCabecou,"woodside cabecou, woodside cabecous"
Xynotyro,"xynotyro, xynotyros"
YargCornish,"yarg cornish, yarg cornishes"
YarraValleyPyramid,"yarra valley pyramid, yarra valley pyramids"
YorkshireBlue,"yorkshire blue, yorkshire blues"
Zamorano,"zamorano, zamoranos"
ZanettiGranaPadano,"zanetti grana padano, zanetti grana padanos"
ZanettiParmigianoReggiano,"zanetti parmigiano reggiano, zanetti parmigiano reggianos"
